id,regency_id,name
930101,9301,Merauke
930102,9301,Muting
930103,9301,Okaba
930104,9301,Kimaam
930105,9301,Semangga
930106,9301,Tanah Miring
930107,9301,Jagebob
930108,9301,Sota
930109,9301,Ulilin
930110,9301,Elikobal
930111,9301,Kurik
930112,9301,Naukenjerai
930113,9301,Animha
930114,9301,Malind
930115,9301,Tubang
930116,9301,Ngguti
930117,9301,Kaptel
930118,9301,Tabonji
930119,9301,Waan
930120,9301,Ilwayab
930121,9301,Padua
930122,9301,Kontuar
930201,9302,Mandobo
930202,9302,Mindiptana
930203,9302,Waropko
930204,9302,Kouh
930205,9302,Jair
930206,9302,Bomakia
930207,9302,Kombut
930208,9302,Iniyandit
930209,9302,Arimop
930210,9302,Fofi
930211,9302,Ambatkwi
930212,9302,Manggelum
930213,9302,Firiwage
930214,9302,Yaniruma
930215,9302,Subur
930216,9302,Kombay
930217,9302,Ninati
930218,9302,Sesnuk
930219,9302,Ki
930220,9302,Kawagit
930301,9303,Obaa
930302,9303,Mambioman Bapai
930303,9303,Citak-Mitak
930304,9303,Edera
930305,9303,Haju
930306,9303,Assue
930307,9303,Kaibar
930308,9303,Passue
930309,9303,Minyamur
930310,9303,Venaha
930311,9303,Syahcame
930312,9303,Yakomi
930313,9303,Bamgi
930314,9303,Passue Bawah
930315,9303,Ti Zain
930401,9304,Agats
930402,9304,Atsj
930403,9304,Sawa Erma
930404,9304,Akat
930405,9304,Fayit
930406,9304,Pantai Kasuari
930407,9304,Suator
930408,9304,Suru-suru
930409,9304,Kolf Braza
930410,9304,Unir Sirau
930411,9304,Joerat
930412,9304,Pulau Tiga
930413,9304,Jetsy
930414,9304,Der Koumur
930415,9304,Kopay
930416,9304,Safan
930417,9304,Sirets
930418,9304,Ayib
930419,9304,Betcbamu
930420,9304,Joutu
930421,9304,Aswi
930422,9304,Awyu
930423,9304,Koroway Buluanop
930424,9304,Tomor Birip
930425,9304,Sor Ep
940101,9401,Nabire
940102,9401,Napan
940103,9401,Yaur
940104,9401,Uwapa
940105,9401,Wanggar
940106,9401,Siriwo
940107,9401,Makimi
940108,9401,Teluk Umar
940109,9401,Teluk Kimi
940110,9401,Yaro
940111,9401,Wapoga
940112,9401,Nabire Barat
940113,9401,Moora
940114,9401,Dipa
940115,9401,Menou
940201,9402,Mulia
940202,9402,Ilu
940203,9402,Fawi
940204,9402,Mewoluk
940205,9402,Yamo
940206,9402,Nume
940207,9402,Torere
940208,9402,Tingginambut
940209,9402,Pagaleme
940210,9402,Gurage
940211,9402,Irimuli
940212,9402,Muara
940213,9402,Ilamburawi
940214,9402,Yambi
940215,9402,Lumo
940216,9402,Molanikime
940217,9402,Dokome
940218,9402,Kalome
940219,9402,Wanwi
940220,9402,Yamoneri
940221,9402,Waegi
940222,9402,Nioga
940223,9402,Gubume
940224,9402,Taganombak
940225,9402,Dagai
940226,9402,Kiyage
940301,9403,Paniai Timur
940302,9403,Paniai Barat
940303,9403,Aradide
940304,9403,Bogabaida
940305,9403,Bibida
940306,9403,Dumadama
940307,9403,Siriwo
940308,9403,Kebo
940309,9403,Yatamo
940310,9403,Ekadide
940311,9403,Wegee Muka
940312,9403,Wegee Bino
940313,9403,Pugo Dagi
940314,9403,Muye
940315,9403,Nakama
940316,9403,Teluk Deya
940317,9403,Yagai
940318,9403,Youtadi
940319,9403,Baya Biru
940320,9403,Deiyai Miyo
940321,9403,Dogomo
940322,9403,Aweida
940323,9403,Topiyai
940324,9403,Fajar Timur
940401,9404,Mimika Baru
940402,9404,Agimuga
940403,9404,Mimika Timur
940404,9404,Mimika Barat
940405,9404,Jita
940406,9404,Jila
940407,9404,Mimika Timur Jauh
940408,9404,Mimika Tengah
940409,9404,Kuala Kencana
940410,9404,Tembagapura
940411,9404,Mimika Barat Jauh
940412,9404,Mimika Barat Tengah
940413,9404,Kwamki Narama
940414,9404,Hoya
940415,9404,Iwaka
940416,9404,Wania
940417,9404,Amar
940418,9404,Alama
940501,9405,Ilaga
940502,9405,Wangbe
940503,9405,Beoga
940504,9405,Doufo
940505,9405,Pogoma
940506,9405,Sinak
940507,9405,Agandugume
940508,9405,Gome
940509,9405,Dervos
940510,9405,Beoga Barat
940511,9405,Beoga Timur
940512,9405,Ogamanim
940513,9405,Kembru
940514,9405,Bina
940515,9405,Sinak Barat
940516,9405,Mage'abume
940517,9405,Yugumuak
940518,9405,Ilaga Utara
940519,9405,Mabugi
940520,9405,Omukia
940521,9405,Lambewi
940522,9405,Oneri
940523,9405,Amungkalpia
940524,9405,Gome Utara
940525,9405,Erelmakawia
940601,9406,Kamu
940602,9406,Mapia
940603,9406,Piyaiye
940604,9406,Kamu Utara
940605,9406,Sukikai Selatan
940606,9406,Mapia Barat
940607,9406,Kamu Selatan
940608,9406,Kamu Timur
940609,9406,Mapia Tengah
940610,9406,Dogiyai
940701,9407,Sugapa
940702,9407,Homeyo
940703,9407,Wandai
940704,9407,Biandoga
940705,9407,Agisiga
940706,9407,Hitadipa
940707,9407,Ugimba
940708,9407,Tomosiga
940801,9408,Tigi
940802,9408,Tigi Timur
940803,9408,Bowobado
940804,9408,Tigi Barat
940805,9408,Kapiraya
950101,9501,Wamena
950102,9501,Kurulu
950103,9501,Asologaima
950104,9501,Hubikosi
950105,9501,Bolakme
950106,9501,Walelagama
950107,9501,Musatfak
950108,9501,Wolo
950109,9501,Asolokobal
950110,9501,Pelebaga
950111,9501,Yalengga
950112,9501,Trikora
950113,9501,Napua
950114,9501,Walaik
950115,9501,Wouma
950116,9501,Hubikiak
950117,9501,Ibele
950118,9501,Taelarek
950119,9501,Itlay Hisage
950120,9501,Siepkosi
950121,9501,Usilimo
950122,9501,Wita Waya
950123,9501,Libarek
950124,9501,Wadangku
950125,9501,Pisugi
950126,9501,Koragi
950127,9501,Tagime
950128,9501,Molagalome
950129,9501,Tagineri
950130,9501,Silo Karno Doga
950131,9501,Piramid
950132,9501,Muliama
950133,9501,Bugi
950134,9501,Bpiri
950135,9501,Welesi
950136,9501,Asotipo
950137,9501,Maima
950138,9501,Popugoba
950139,9501,Wame
950140,9501,Wesaput
950201,9502,Oksibil
950202,9502,Kiwirok
950203,9502,Okbibab
950204,9502,Iwur
